2009FP32,12.0*,2073-04-01 21:16,1/1.07E6,-7.36,0,18.75,1422
2008YV32,23.0*,2085-01-09 21:49,1/2.9E6,-7.38,0,14.23,1509
2007UT3,30.0*,2078-08-28 20:36,1/6.94E6,-7.42,0,14.39,1948
2008LD,7.0*,2086-05-30 22:42,1/152207,-7.45,0,11.91,1723
2011BT59,230.0*,2041-04-06 20:28,1/1.65E10,-7.46,0,39.9,672
2003DW10,25.0*,2046-03-02 09:23,1/7.94E6,-7.48,0,13.65,3486
2001FB90,440.0*,2067-10-19 02:01,1/1.65E10,-7.48,0,27.37,4347
2012CU,27.0*,2040-01-31 06:23,1/1.77E7,-7.49,0,15.63,382
2008HC38,25.0*,2029-04-23 02:40,1/2.65E7,-7.5,0,17.96,1754
2006HE2,21.0*,2081-10-06 10:16,1/2.51E6,-7.5,0,12.25,2496
2008SH148,26.0*,2049-10-17 03:36,1/1.17E7,-7.55,0,15.32,1604
2008TS26,1.0*,2013-10-09 09:22,1/46296,-7.56,0,17.45,1593
2001SD286,39.0*,2080-09-23 05:15,1/1.93E7,-7.56,0,16.81,4162
2010VN1,9.0*,2054-11-02 23:12,1/1.02E6,-7.57,0,15.68,838
2012UE,9.0*,2053-10-20 14:00,1/1.16E6,-7.58,0,17.32,127
2006HX57,38.0*,2045-05-09 01:51,1/3.77E7,-7.6,0,15.4,2486
2008HU4,10.0*,2076-04-04 19:54,1/471698,-7.61,0,11.22,1755
2008UA202,5.0*,2083-10-11 04:08,1/120336,-7.63,0,11.41,1569
2012HE31,30.0*,2083-09-15 23:01,1/1.36E7,-7.67,0,15.4,296
2006DO62,8.0*,2053-02-21 23:57,1/1.28E6,-7.71,0,15.54,2549
2011CF22,3.0*,2031-02-07 13:02,1/366300,-7.75,0,22.57,672
2010VO139,22.0*,2043-11-10 12:10,1/3.6E7,-7.75,0,24.22,828
2001YN2,43.0*,2079-12-15 03:33,1/5.88E7,-7.75,0,21.6,4061
2001HJ31,70.0*,2083-04-11 05:08,1/1.2E8,-7.79,0,15.92,4314
2013AB65,13.0*,2094-01-12 09:59,1/5.24E6,-7.82,0,26.92,37
2008VS4,56.0*,2027-01-11 00:49,1/2.87E8,-7.83,0,12.26,1566
